,Bluetooth_count_week,wifi_count_week,Bluetooth_mean_24h,wifi_mean_24h,screen_count_week,Screen_avg_time_week,screen_count_treshold_week,screen_count_mean_24,Screen_avg_time_24,screen_mean_treshold_24,Battery_count_threshold_week,Battery_count_week,Battery_avg_threshold_24h,Battery_avg_24h,Calls_count_incoming_week,Calls_count_outgoing_week,Calls_count_missing_week,calls_duration_mean_week,Calls_trace_incoming_week,Calls_trace_outgoing_week,Calls_trace_missing_week,Call_ratio_week,messages_count_incoming_week,messages_count_outgoing_week,messages_trace_outgoing_week,messages_trace_incoming_week,Calls_mean_incoming_24h,Calls_mean_outgoing_24h,Calls_mean_missing_24h,calls_duration_mean_24h,Calls_trace_mean_incoming_24h,Calls_trace_mean_outgoing_24h,Calls_trace_mean_missing_24h,Call_ratio_24h,messages_mean_incoming_24h,messages_mean_outgoing_24h,messages_trace_outgoing_24h,messages_trace_incoming_24h
Calls_trace_incoming_week,0.1412833624005359,0.24715706013719924,0.37223116094003406,0.18645416643773075,0.44311046421159617,-0.042641431075468826,0.3732364136889748,0.4132619597904253,-0.026873463238203388,0.27681543895593175,0.2680234089674781,0.23333121422623557,0.20993844576371995,0.17572681635929904,0.8005420863176748,0.6158680997342462,0.5603911062996103,0.2244688760163306,1.0,0.6607513787832845,0.6558684385629675,0.006546874464802145,0.4693951256600976,0.15905743315214876,0.4683533660698859,0.2425174657374634,0.7295356628898914,0.5103461886898109,0.2697981756059721,0.22726478960563945,0.5264866803560572,0.6285457722554083,0.36187725517212116,-0.05336029357956865,0.4560831042328261,0.13266133907057415,0.43976641726438903,0.2873470229927886
Calls_trace_outgoing_week,-0.03188484510221816,0.28394651104946106,0.3923603819548345,0.28596677871458137,0.4500410357812371,-0.04704836836833626,0.31817373834915647,0.392301640328111,-0.0487806384854157,0.36220256287808644,0.13568775346704068,0.2723718074142432,0.15040781893842772,0.1074386068479798,0.5925991085441414,0.7635296964542362,0.6808175750239669,0.2549924501417717,0.6607513787832845,1.0,0.6513620488041271,-0.13211045044532455,0.4123373161408704,0.09935704741410875,0.38165310162268307,0.20200074004073648,0.5928847544727958,0.7088108838723683,0.21290991486497327,0.24461427399041494,0.4680587513521946,0.6656032096283492,0.15678005590493077,-0.06166617862131482,0.3556204248173908,0.08951026272627922,0.33018290051416754,0.24046661334235167
Calls_trace_missing_week,-0.07043261265851215,0.11741353918912797,0.2660672254834444,0.12389643829575976,0.43957544794556513,-0.02555720003807241,0.306960401270128,0.42907133301367006,-0.02759711752116139,0.2853934354880001,0.2447846737198954,0.10752457389563788,0.17700756277118815,-0.1045944479117436,0.5026736460576887,0.6471519171708355,0.8285490062911173,0.19852408808809008,0.6558684385629675,0.6513620488041271,1.0,-0.11933030186442058,0.45049483808533813,0.3033096625010896,0.42966988032105413,0.2762881399925059,0.5909861169857014,0.6241116701060173,0.253649305685161,0.2332408892573663,0.40157136500268803,0.6187186576263157,0.4235287762038236,0.052423192167842525,0.42153231759038656,0.27996831599421906,0.35495533669147555,0.3564755257368669
Call_ratio_week,0.194652101844002,-0.06910930722717755,-0.11937905919094668,-0.08814690236969036,-0.018254362608161625,-0.2112901354161986,-0.04767742600481209,0.024155632926022845,-0.11434344741396077,-0.17019158612749793,-0.23152602422674173,-0.03542781427247836,-0.19165085275527707,0.11177303523961644,0.024365383575111754,-0.1335456788495938,-0.08929567176368775,0.027000683205078178,0.006546874464802145,-0.13211045044532455,-0.11933030186442058,1.0,-0.02675441358390223,-0.038626460487187084,-0.04413720577545068,-0.15611573329895564,0.00616040699303693,-0.18790165510380089,0.031940541819317166,0.0227868341019955,-0.04767813433197109,-0.11434802695403391,0.0884506224194877,0.5601405930217926,0.013617386512104037,0.06300507462177687,-0.012238778105089894,-0.09250190075157336
messages_count_incoming_week,0.12917103381975548,0.4440603873355607,0.19262421422036358,0.19734683608634207,0.5401944540616087,-0.08190793518640788,0.19025571612937947,0.3423328845770252,-0.05652641627109974,0.08524585184344645,0.18969670799596855,0.27648285337910455,0.168640746661451,0.14732514178810663,0.48682438500951314,0.35864934647390717,0.42834778661865947,0.06347706495383947,0.4693951256600976,0.4123373161408704,0.45049483808533813,-0.02675441358390223,1.0,0.5729025212699956,0.9406809123058787,0.6922059284914064,0.3981773632551262,0.3797140985153435,0.05958432006902828,0.09615525175586984,0.2947200458252253,0.43575293337911963,0.12858306073407957,-0.03868347487256342,0.9247419491567893,0.49463985841168545,0.8839408629238452,0.6273117024430254
messages_count_outgoing_week,-0.01599616548403085,0.2375226743376427,0.10893574233726026,0.13886628947857077,0.3215511929272897,-0.02747595381081395,0.019884708394383287,0.2744388514759551,0.0007829659219017087,-0.022280383877772876,0.3131470240634011,0.04859350453162501,0.1825899065784409,-0.0652162105870602,0.19417523337853596,0.07646660296965137,0.2513996505679751,-0.011171662001739583,0.15905743315214876,0.09935704741410875,0.3033096625010896,-0.038626460487187084,0.5729025212699956,1.0,0.39437812852953397,0.6918782277719753,0.1447865559394292,0.10468568547820216,-0.12619678091839046,-0.04831029804224273,0.1998991512017877,0.12222529161456096,0.14548150431523438,0.01172115880062014,0.6147225732996792,0.9174440919987865,0.39569665554196276,0.6815742049446314
messages_trace_outgoing_week,0.17630723895882427,0.4210853873786358,0.23994483932655972,0.19390797819793282,0.500675869808924,-0.12057775151812687,0.2279657690205144,0.31565566350611446,-0.09980496952071952,0.10014266023435854,0.1363340358176294,0.2582311804067551,0.1621887118772367,0.11981504875998158,0.5023249388082793,0.40929950642042007,0.40557701034150156,0.04878406143107121,0.4683533660698859,0.38165310162268307,0.42966988032105413,-0.04413720577545068,0.9406809123058787,0.39437812852953397,1.0,0.646098901873861,0.44429096692891257,0.4070690923561294,0.06603495698886405,0.11462103686507277,0.28106223304376665,0.4229611372142347,0.1321076386347493,-0.04201524600530693,0.8335672032719574,0.32278474937697865,0.911371932912307,0.5860665912701963
messages_trace_incoming_week,0.04272568965503992,0.25072347295450714,0.28727837026919,0.2728595950976489,0.30117228087583525,0.01553416915660965,0.10821668698037991,0.2137203206198599,0.06357197084185785,-0.0027090214792394765,0.23485772676010264,0.12266683697339277,0.1964475830890465,0.014515444875780964,0.253267239252899,0.2373614593950043,0.28441328017485185,-0.036836828914248325,0.2425174657374634,0.20200074004073648,0.2762881399925059,-0.15611573329895564,0.6922059284914064,0.6918782277719753,0.646098901873861,1.0,0.22216366854801167,0.28246278480072234,-0.02744815491545501,-0.0039877486158410545,0.25989529234941106,0.23819430397308566,0.19599182623529318,-0.10184495087521331,0.6280757334093197,0.5792729520118005,0.6159515145901088,0.8760686596598998
Calls_mean_incoming_24h,0.008942877448015323,0.19770299010424205,0.41318144721475303,0.25162690700202306,0.3514065578848772,-0.10792758911084173,0.2699764423083749,0.3651075937298712,-0.06308730886658825,0.2749844374140975,0.17596671881923862,0.16094742323844888,0.081001999273073,0.06747952222071302,0.7253577687723514,0.5556222253060908,0.5331737800978669,0.2963985094066994,0.7295356628898914,0.5928847544727958,0.5909861169857014,0.00616040699303693,0.3981773632551262,0.1447865559394292,0.44429096692891257,0.22216366854801167,1.0,0.6476842889552605,0.26258065146738524,0.31598417104715343,0.6186360402326448,0.6143478060347497,0.33859663495624454,-0.18448357100129953,0.33015248564837163,0.1211586832827713,0.38347879336444934,0.2537040317096709
Calls_mean_outgoing_24h,-0.017847955716208667,0.17559677658197087,0.3238249043022343,0.2701984532458137,0.38511514776639616,-0.07070929596586345,0.28779689549909016,0.39228703944361926,-0.03635522641066854,0.3221752154225344,0.226568395922671,0.19660575338566902,0.13719044469416675,-0.027441504353124792,0.5015170141724602,0.6430891330763266,0.6932928983882428,0.31186191000386343,0.5103461886898109,0.7088108838723683,0.6241116701060173,-0.18790165510380089,0.3797140985153435,0.10468568547820216,0.4070690923561294,0.28246278480072234,0.6476842889552605,1.0,0.12414020841280392,0.3136159816572448,0.5767564085415173,0.8135106061756051,0.18540840672012046,-0.16329498319642316,0.29275279251875413,0.10632477396827275,0.3614267506060059,0.32265496341620775
Calls_mean_missing_24h,0.03826358092784815,0.06301555675407573,0.14413508990897683,0.04237118507499725,0.05451869894288034,-0.15075416369350336,-0.032738061450829685,0.15856017776993103,-0.1538208638868903,0.14826328985921192,0.0037741546656156607,0.1673722856072821,0.026158154964155248,0.2067455654757613,0.2921327181352536,0.20618832800936512,0.3638727181844402,0.014017397919859427,0.2697981756059721,0.21290991486497327,0.253649305685161,0.031940541819317166,0.05958432006902828,-0.12619678091839046,0.06603495698886405,-0.02744815491545501,0.26258065146738524,0.12414020841280392,1.0,0.05738554044099476,0.2572068402561993,0.16910920919687994,0.6174606816491786,0.13675759554947448,0.0240717678894443,-0.13921369823600266,0.0630973537238577,-0.03712083993458786
calls_duration_mean_24h,-0.0957534229680725,-0.12671470702174606,-0.16489173678339084,-0.09166829274642382,0.000884966492979062,-0.06396220349264259,0.05857329721332086,0.029443122238939707,-0.07043346632986924,-0.01048882008013762,-0.02988753677394447,-0.007795609277843712,-0.01348414659098976,0.037548259686074455,0.29032768628140726,0.21533181867579798,0.22536715290616233,0.8995705091790601,0.22726478960563945,0.24461427399041494,0.2332408892573663,0.0227868341019955,0.09615525175586984,-0.04831029804224273,0.11462103686507277,-0.0039877486158410545,0.31598417104715343,0.3136159816572448,0.05738554044099476,1.0,0.2117602424953994,0.21470253316886312,-0.00790722534187677,-0.003918220370874536,0.0818207360759959,-0.056532420029566724,0.13530418301734726,-0.021446400195355635
Calls_trace_mean_incoming_24h,-0.054616399084435725,0.18998134128790545,0.3075584992139312,0.1962971955554112,0.2428865438738722,-0.03597962261729326,0.160433661193354,0.2719380313762361,-0.0010315803910428913,0.20380238593595298,0.13422408367748118,0.1389767365331292,0.07477305537638596,0.10013653627628002,0.6500847012473084,0.4439548325658888,0.43412513717409384,0.23153040903972213,0.5264866803560572,0.4680587513521946,0.40157136500268803,-0.04767813433197109,0.2947200458252253,0.1998991512017877,0.28106223304376665,0.25989529234941106,0.6186360402326448,0.5767564085415173,0.2572068402561993,0.2117602424953994,1.0,0.5389628370997207,0.2977454259346776,-0.20718013518747716,0.30394219284767127,0.20118844528524793,0.32289272254185264,0.3161318066478892
Calls_trace_mean_outgoing_24h,0.027842055760708195,0.2626437485515222,0.32619530347272485,0.25212824153431074,0.4478683741218644,-0.05675588558699673,0.20449085972052514,0.4005911056072487,-0.04580134837905975,0.2539759051007573,0.18778051976502846,0.20594366800544647,0.14244390678845528,0.08246155493475046,0.5005833432207105,0.5751236019079436,0.566397449049599,0.18162008798899046,0.6285457722554083,0.6656032096283492,0.6187186576263157,-0.11434802695403391,0.43575293337911963,0.12222529161456096,0.4229611372142347,0.23819430397308566,0.6143478060347497,0.8135106061756051,0.16910920919687994,0.21470253316886312,0.5389628370997207,1.0,0.28121308747017865,-0.18404202422878552,0.3454181379708904,0.1665378865207776,0.3671668137709643,0.29008314298903676
Calls_trace_mean_missing_24h,0.019027861468043764,0.07716343538996015,0.24872880305395284,0.17383313717044205,0.2423703830078396,-0.11460302053780747,0.036671744278307376,0.38403142390328676,-0.11271773967358067,0.22593022183514186,0.13229929745981697,-0.019544146388478907,0.11713656242718666,-0.12941925025624224,0.32300089495947953,0.22235327684045672,0.3738957832337626,0.003963723483772985,0.36187725517212116,0.15678005590493077,0.4235287762038236,0.0884506224194877,0.12858306073407957,0.14548150431523438,0.1321076386347493,0.19599182623529318,0.33859663495624454,0.18540840672012046,0.6174606816491786,-0.00790722534187677,0.2977454259346776,0.28121308747017865,1.0,0.03338908062404613,0.09168823618521772,0.1857052894354339,0.10528339866611121,0.2755936160069288
Call_ratio_24h,0.05904867540445432,-0.14593384353738534,-0.19723037065691362,-0.06485097150420266,-0.08067658478889544,-0.10757323929429334,-0.04896746297650282,-0.01915245449711642,-0.04809751158305515,-0.23779633631917446,-0.2094574630946018,-0.00990389250399701,-0.12618964966705773,0.10195997357186407,-0.02516253817160689,-0.07821864281670186,0.1761771621195296,-0.05351745608641655,-0.05336029357956865,-0.06166617862131482,0.052423192167842525,0.5601405930217926,-0.03868347487256342,0.01172115880062014,-0.04201524600530693,-0.10184495087521331,-0.18448357100129953,-0.16329498319642316,0.13675759554947448,-0.003918220370874536,-0.20718013518747716,-0.18404202422878552,0.03338908062404613,1.0,0.030055260626863273,0.07340909802747887,-0.005664648205460168,-0.015341066598945081
messages_mean_incoming_24h,0.1251120484417041,0.4229850925814001,0.11730306716630866,0.15256219970306556,0.4503381883983341,-0.04296844579390091,0.16227398020023975,0.29980304862929064,-0.03165433633134193,-0.0023652450076586465,0.15243919512810528,0.19601844195751444,0.15927197804573576,0.1270168769772371,0.475803654128506,0.3383646510825978,0.4146467597572596,0.059063250123366676,0.4560831042328261,0.3556204248173908,0.42153231759038656,0.013617386512104037,0.9247419491567893,0.6147225732996792,0.8335672032719574,0.6280757334093197,0.33015248564837163,0.29275279251875413,0.0240717678894443,0.0818207360759959,0.30394219284767127,0.3454181379708904,0.09168823618521772,0.030055260626863273,1.0,0.5823201837452354,0.9099542162820006,0.6449949808610649
messages_mean_outgoing_24h,-0.019088619400201057,0.2696334488954088,0.1308028859696463,0.16847498285191329,0.34671906100172756,-0.061282368059288696,0.03628251741089201,0.31903234888264337,-0.03605681738337055,0.008548528275983899,0.2574091826430501,-0.009230965783690105,0.18099777312160642,-0.14172839796185316,0.13390051067803038,0.10471904840652933,0.24475384931092162,0.012500045091825672,0.13266133907057415,0.08951026272627922,0.27996831599421906,0.06300507462177687,0.49463985841168545,0.9174440919987865,0.32278474937697865,0.5792729520118005,0.1211586832827713,0.10632477396827275,-0.13921369823600266,-0.056532420029566724,0.20118844528524793,0.1665378865207776,0.1857052894354339,0.07340909802747887,0.5823201837452354,1.0,0.3662372319661621,0.6872710913242316
messages_trace_outgoing_24h,0.20620936665174353,0.3872133234630203,0.19244500760622202,0.17831601364418573,0.4410744266375861,-0.09735032108841846,0.22151810925797166,0.3046020217823246,-0.07515730353158775,0.04924901357417506,0.11463095016324179,0.19239113921931394,0.17960504123490428,0.13139419391042678,0.5009320492780924,0.42343074722024926,0.3767244623778613,0.06882888552439322,0.43976641726438903,0.33018290051416754,0.35495533669147555,-0.012238778105089894,0.8839408629238452,0.39569665554196276,0.911371932912307,0.6159515145901088,0.38347879336444934,0.3614267506060059,0.0630973537238577,0.13530418301734726,0.32289272254185264,0.3671668137709643,0.10528339866611121,-0.005664648205460168,0.9099542162820006,0.3662372319661621,1.0,0.6506720227805942
messages_trace_incoming_24h,0.04353088772841126,0.2215268051480811,0.30920004004575835,0.2924506407432241,0.40177807804182103,-0.0408339109046375,0.21872777908805188,0.3433371017773326,0.008412853863081328,0.1073824424088403,0.3086007441042566,0.0921774513901412,0.32330393729258994,-0.0494329254086862,0.30440670556712257,0.38383512082246835,0.39223880020967394,-0.01794550352454957,0.2873470229927886,0.24046661334235167,0.3564755257368669,-0.09250190075157336,0.6273117024430254,0.6815742049446314,0.5860665912701963,0.8760686596598998,0.2537040317096709,0.32265496341620775,-0.03712083993458786,-0.021446400195355635,0.3161318066478892,0.29008314298903676,0.2755936160069288,-0.015341066598945081,0.6449949808610649,0.6872710913242316,0.6506720227805942,1.0
